id_conf,run_id,mutation,neighbor,H,stop,nb solutions,hv,spacing,duration_batch
4,0,0.1,0.2,8,100,55,0.5709485182269801,0.17558442925410955,12.173612928390503
4,1,0.1,0.2,8,100,59,0.5593430402546121,0.10123111840187964,12.173612928390503
4,2,0.1,0.2,8,100,209,0.5994115660536982,0.07389688228267896,12.173612928390503
4,3,0.1,0.2,8,100,126,0.5315340017766066,0.0899815381085496,12.173612928390503
4,4,0.1,0.2,8,100,39,0.5526862779392347,0.13800202818620114,12.173612928390503
5,0,0.2,0.05,8,100,76,0.5585536866389857,0.10034607564423872,12.680263137817382
5,1,0.2,0.05,8,100,72,0.5664019873170293,0.08631788944144392,12.680263137817382
5,2,0.2,0.05,8,100,64,0.5517015971508835,0.11580523505064985,12.680263137817382
5,3,0.2,0.05,8,100,53,0.5609904862584055,0.10887898848720112,12.680263137817382
5,4,0.2,0.05,8,100,42,0.5743625585690794,0.10853267179205882,12.680263137817382
11,0,0.4,0.15,8,100,76,0.5595731623892061,0.08453841200157226,12.96409764289856
11,1,0.4,0.15,8,100,102,0.5939970058848455,0.09870314939418491,12.96409764289856
11,2,0.4,0.15,8,100,44,0.5629187081346904,0.14498342678223486,12.96409764289856
11,3,0.4,0.15,8,100,86,0.5801040210155541,0.08475045940046501,12.96409764289856
11,4,0.4,0.15,8,100,80,0.5644733987203076,0.10533915249855708,12.96409764289856
7,0,0.2,0.15,8,100,68,0.5705229358787286,0.10462568750814219,13.642598485946655
7,1,0.2,0.15,8,100,56,0.5894133490539785,0.09599035215604157,13.642598485946655
7,2,0.2,0.15,8,100,88,0.589974226307415,0.09038159917453258,13.642598485946655
7,3,0.2,0.15,8,100,49,0.5638556383758729,0.1386166944920124,13.642598485946655
7,4,0.2,0.15,8,100,101,0.5912690649267587,0.09390899950696986,13.642598485946655
10,0,0.4,0.1,8,100,26,0.5735623197680078,0.1764077407782879,13.830829954147339
10,1,0.4,0.1,8,100,63,0.5634832424099525,0.1066811737445845,13.830829954147339
10,2,0.4,0.1,8,100,43,0.5700169986935669,0.12156233213512274,13.830829954147339
10,3,0.4,0.1,8,100,53,0.5558623134859378,0.12358962561156524,13.830829954147339
10,4,0.4,0.1,8,100,64,0.5702182511781149,0.0877528822598765,13.830829954147339
9,0,0.4,0.05,8,100,51,0.5605673679758854,0.12122363062108178,13.889143466949463
9,1,0.4,0.05,8,100,65,0.5888256655351085,0.10968266421314829,13.889143466949463
9,2,0.4,0.05,8,100,52,0.5871720140731562,0.13342818155661013,13.889143466949463
9,3,0.4,0.05,8,100,106,0.5453109785556277,0.08800132804485543,13.889143466949463
9,4,0.4,0.05,8,100,61,0.5676503552940602,0.09226404868354089,13.889143466949463
2,0,0.1,0.1,8,100,25,0.5460412700749454,0.16041394250693977,13.92763638496399
2,1,0.1,0.1,8,100,51,0.5711629402780516,0.12999913390430737,13.92763638496399
2,2,0.1,0.1,8,100,58,0.5818083188240305,0.1133335604129162,13.92763638496399
2,3,0.1,0.1,8,100,102,0.5597048711448235,0.08817179234267479,13.92763638496399
2,4,0.1,0.1,8,100,37,0.5563716817013928,0.12836744890424104,13.92763638496399
8,0,0.2,0.2,8,100,38,0.5302045932928996,0.1694871286688841,14.014506101608276
8,1,0.2,0.2,8,100,44,0.5698251482652847,0.12468003847480244,14.014506101608276
8,2,0.2,0.2,8,100,50,0.5705616356631329,0.10389115395044445,14.014506101608276
8,3,0.2,0.2,8,100,48,0.5794514248190294,0.14691005827626807,14.014506101608276
8,4,0.2,0.2,8,100,48,0.558283078157687,0.1445817001972465,14.014506101608276
3,0,0.1,0.15,8,100,108,0.5600577017195292,0.11725700783608983,14.10445065498352
3,1,0.1,0.15,8,100,53,0.5538981449389561,0.10859049797499168,14.10445065498352
3,2,0.1,0.15,8,100,84,0.5812898589918911,0.09005127429830352,14.10445065498352
3,3,0.1,0.15,8,100,55,0.5497504938350091,0.09865119266012026,14.10445065498352
3,4,0.1,0.15,8,100,71,0.5906525876585171,0.09875714598022808,14.10445065498352
6,0,0.2,0.1,8,100,68,0.5562709967742341,0.1144884406219432,14.287042713165283
6,1,0.2,0.1,8,100,59,0.5551073358794729,0.1067573753932336,14.287042713165283
6,2,0.2,0.1,8,100,71,0.5628369410335945,0.09380405052312908,14.287042713165283
6,3,0.2,0.1,8,100,69,0.5842509723655168,0.10860142469516829,14.287042713165283
6,4,0.2,0.1,8,100,77,0.5840033162791941,0.08977440489475075,14.287042713165283
1,0,0.1,0.05,8,100,69,0.5787372626065692,0.1058100718129641,14.30019497871399
1,1,0.1,0.05,8,100,53,0.5757733287774122,0.11087059167374204,14.30019497871399
1,2,0.1,0.05,8,100,47,0.5509615675552818,0.11304984916274163,14.30019497871399
1,3,0.1,0.05,8,100,63,0.5586690781565857,0.09110172726032882,14.30019497871399
1,4,0.1,0.05,8,100,71,0.5660727969071759,0.09788127982761803,14.30019497871399
12,0,0.4,0.2,8,100,43,0.5821246215893414,0.1285762768112494,11.83372721672058
12,1,0.4,0.2,8,100,42,0.5548882161580077,0.14817585115225548,11.83372721672058
12,2,0.4,0.2,8,100,54,0.5809045736085731,0.13394034492919893,11.83372721672058
12,3,0.4,0.2,8,100,80,0.586250826383143,0.09222373709893938,11.83372721672058
12,4,0.4,0.2,8,100,34,0.5545082891527344,0.14490300002083203,11.83372721672058
13,0,0.5,0.05,8,100,68,0.5666809532695859,0.11033690290586219,12.185867214202881
13,1,0.5,0.05,8,100,104,0.5809176324735169,0.08790880562440659,12.185867214202881
13,2,0.5,0.05,8,100,50,0.5826149555103014,0.1048803086926513,12.185867214202881
13,3,0.5,0.05,8,100,84,0.5893359557988396,0.0793968620873473,12.185867214202881
13,4,0.5,0.05,8,100,66,0.5645068367908153,0.08608116137649809,12.185867214202881
14,0,0.5,0.1,8,100,54,0.5687915352848817,0.101800379976723,13.994094181060792
14,1,0.5,0.1,8,100,45,0.5537165533742258,0.14042796597074678,13.994094181060792
14,2,0.5,0.1,8,100,41,0.5691254572611916,0.17675001468646734,13.994094181060792
